cluster_id,item_id,x,y,z,item_name
51,8633,0.3140196544017102,-3.5245007492634772,-0.3460663854202902,hair by lynette
51,8662,-2.6704069751289894,-4.7625955449801145,0.7904093176527743,ltf hair extensions
51,29929,1.5199275049033307,-3.388053681000937,2.1692560965451078,salon co
51,30372,1.312475172874923,1.6927633784452771,-1.5079347109479673,linde salon
51,30411,0.7321134194919953,-2.6027318284510184,0.019914025912963644,take a break salon
51,30434,1.3371937620032823,1.5166420746991691,-1.5780513803792164,hooker's salon
51,30444,-2.691633904889372,-3.4241780768863936,-2.71630565795882,esteban's salon
51,30567,1.3151553233666555,1.6794001463079873,-1.5090714326091539,salon belize
51,30569,1.304684569193532,1.6552706826118813,-1.5051564878390598,headbanger salon llc
51,30571,1.3274108580387862,1.5765331976138088,-1.5368772585097004,salon savior faire
51,30578,-3.1131097073718137,-3.821173017613779,-2.134329108906826,mix a salon
51,30667,-3.0646696973646006,-3.657831660980983,-2.6420813877638314,little star salon
51,30835,0.7994105567055084,-2.6223325343571156,0.07413850123912387,way of world a salon llp
51,30837,-3.03852230413246,-3.7066636512476254,-2.4329988078237954,a family affair hair salon
51,30838,-3.1189312447656565,-3.824352890590516,-2.2333680095110333,effects a salon
51,30847,-3.0998465877220585,-3.674147160114402,-2.7188902312373577,latinas salon
51,30901,1.2999882163143288,1.6828249587359887,-1.5055661764402883,crazy horse ii salon
51,137244,-2.3794366599835413,-0.6369233645122945,0.18531654785450352,the spa
51,147587,-1.2617264552835663,-4.0021912172847305,-1.5839708271262098,cutting trends
51,171696,-2.425696678179381,-4.204151435611462,-1.7351630193583438,el y ella hair salon
51,177152,-0.24877052240381925,1.212937910622253,-2.8753358627930443,dillards your salon
51,192391,-2.4300700434565625,-1.296162785534702,-0.04418225396148028,mokara spa at the omni interlocken resort
51,208617,-0.09184107308205036,-2.0248729400771697,-4.051847723563053,milliken barber shop
51,224565,2.763636596076524,1.7580894578723583,-2.3156200829265083,rumors beauty salon & barber shop
51,243625,-3.689753658191523,-2.266477225472714,-2.4111937652374933,aurora highland barbers
51,246336,-0.755944334863844,-0.30281517266512026,1.8691576128537857,willis beau monde salon inc
51,246337,-0.3366005148828952,4.222920282530213,-0.7767278162927195,chanair salon
51,246428,-3.9835161888791433,0.7816593454843745,-1.2276044224124398,salon de velleza michoacam
51,287968,1.4294354125413409,2.3176513088499804,1.160501255008257,el camerino beauty salon
51,287969,1.3712218041595974,2.4229490051072387,1.104612025376602,aracely beauty salon
51,287978,1.3973154746655736,2.4084437666597207,1.0644407172870551,salida beauty salon
51,287990,1.3731359180466056,2.4151675828546666,1.091818833398539,thuy beauty salon
51,287991,1.1594959099603401,2.409835904977967,0.8551665699006672,desci beauty salon
51,323740,1.80271629047688,-2.8078461293973938,2.2445446970662317,dave s hair shack & co
51,323747,1.9669666000783308,-2.0838338521059034,2.242816637403967,cut loose hair dressers
51,344449,-0.8772496122608117,-2.2446583294560005,1.3259349276765673,roundup salon & tanning
51,366767,-1.0003898617897304,0.01049321200286358,-3.4579366905823288,legends nail studio
51,383714,-2.459722348981292,1.0223554068680365,-1.0343061141459935,headlines a full service salon
51,383716,-2.4427643171156426,1.0307951162972648,-1.0263976929868175,headlines salon llc
51,391449,-2.6734384657915,-2.8040638551594483,-3.7256609623296035,stylish pet parlor
51,391636,-2.642790324824384,-2.8118791974127912,-3.6978624772505935,deborah's pet salon
51,414743,-3.988508516128399,-1.644117009872022,-1.3128502985115251,broomfield beauty salon
51,415682,-1.1417441227706482,1.893389863814472,-0.0394228879458567,wilmas hair nail care
51,415688,-1.1422616589677677,2.173970663695516,0.05218677167271101,lyle nails
51,415930,2.045111949219797,-0.6607219903958484,-1.8806760483682123,unique nail boutique
51,416588,-1.1750139259398968,1.8164404796830016,-0.019211085439948136,ananda hair and nail salon
51,416589,-1.0728750794810258,1.9872759981467476,0.013721323521485371,md nails llc
51,416601,-1.1239778165234935,1.9467004343709584,-0.03781968459060736,bailey hair & nail
51,416684,-1.1447089288772112,2.110083329617169,0.06269250659891368,barringers nail gallery
51,416855,2.0449669406852657,-0.6589390182894974,-1.879692962887432,admired nails
51,416856,-1.1349359308789857,2.0198692547364288,0.01618947639486711,nail affairs of cherry creek
51,416863,-1.1280725425950844,1.88678035766112,-0.04321356254450507,nails perfection inc
51,422078,1.1224258238416926,0.9999831634195766,1.7272320394956329,miguels a salon
51,423174,-0.6324613985262618,-2.9148500828023063,2.0606433789442677,fantastic nails & tan
51,423204,-3.607788594356136,-1.1431008039954846,-0.8950327064475743,vn nail salon
51,423303,0.4062165024696458,1.829472483894013,-2.9586662560423904,stylins nails
51,429876,0.556767970306943,-3.6000439277649785,-1.5554146854199018,everybody's hair
51,430204,-0.2034005535332693,1.3576053970821664,-3.371901803607265,the beauty parlor
51,436735,-3.491794790229789,2.4566204981853446,-1.989858345977162,wigwam hairstylist
51,436736,-3.4997797608625865,2.453971604947194,-1.9944058286407105,wigwam hairstylist
51,436846,-2.106624983198534,0.5817189564939502,-4.400602895550776,hair wackers
51,436998,2.5368014807166146,-3.229328245591641,-2.251926593685624,dede african hair braiding
51,437188,0.4610263889466318,-3.641095636205829,0.6120642143194142,a flair for hair
51,438186,-0.6986968435470412,-1.2150936417420506,3.054832935343045,hair doctors
51,478621,0.082930827653911,-2.114294820296581,0.3173433454371281,main street nails
51,479591,0.6030668836789252,-3.430779733713852,0.964106595063822,nails by donna j smith
51,493346,2.7687558708040285,-1.1965731154999677,0.9429976747364004,regal nails
