cluster_id,item_id,x,y,item_name
15,225764,0.358618243150987,-1.4268195996747728,platinum plastering llc
15,230473,-4.384956568567377,-0.6217444123216853,united states postal service
15,230535,-4.388310951034103,-0.6222151453159565,united states postal service
15,230570,-4.388310953063584,-0.6222151541100266,united states postal service
15,230629,-4.38831098359925,-0.6222151549350227,united states postal service
15,230681,-4.3883003486398895,-0.6222138752902285,united states postal service
15,231051,-4.388349461228716,-0.6222161629090329,united states postal service
15,231054,-4.388339195086663,-0.6222203829769817,united states postal service
15,231132,-4.388309203584006,-0.6222146610170776,united states postal service
15,231267,-4.388309476389201,-0.6222148753458363,united states postal service
15,231418,-4.387876088827725,-0.6221490789875045,united states postal service
15,231428,-4.31668835290778,-0.6122425526614759,united states postal service
15,231523,-4.388357680392477,-0.6222196829088954,united states postal service
15,231528,-4.388338970199014,-0.6222183402533487,united states postal service
15,231620,-4.388404518771105,-0.6222267717653879,united states postal service
15,231646,-4.388403835913812,-0.6222257117732635,united states postal service
15,231951,-4.388295134234046,-0.6222122243303378,united states postal service
15,232124,-4.388310942214261,-0.6222151606246847,united states postal service
15,232175,-4.388407217569911,-0.6222260014263914,united states postal service
15,232282,-4.388309584500491,-0.6222149948643066,united states postal service
15,232362,-4.38830971219589,-0.6222150131678205,united states postal service
15,232387,-4.38835711778108,-0.6222195567223795,united states postal service
15,232629,-4.388295253268828,-0.6222122424498902,united states postal service
15,232659,-4.388743003181938,-0.6222918723474369,united states postal service
15,232736,-4.388383621729882,-0.6222250953385339,united states postal service
15,232749,-4.38830061316416,-0.6222139360276965,united states postal service
15,232767,-4.388310996549759,-0.6222151640986908,united states postal service
15,232780,-4.3880799196705045,-0.6221706937328331,united states postal service
15,233003,-4.388687837654111,-0.6222843798979649,united states postal service
15,233014,-4.38490862134599,-0.6217405881108413,united states postal service
15,233217,-4.388758210217535,-0.6223133200847862,united states postal service
15,233292,-4.388962326105451,-0.6223528104819241,united states postal service
15,233379,-4.388309204150129,-0.6222146590897099,united states postal service
15,233471,-4.388394010318149,-0.6222250345830728,united states postal service
15,233560,-4.3883109581293365,-0.6222151551698876,united states postal service
15,233659,-4.38835712611806,-0.6222222324700262,united states postal service
15,233686,-4.388321533533025,-0.6222158605264202,united states postal service
15,233721,-4.3883094536375955,-0.6222148748534095,united states postal service
15,233964,-4.388269980056866,-0.6222051855998457,united states postal service
15,234131,-4.3883109669480405,-0.6222151631721243,united states postal service
15,234176,-4.389106221234941,-0.6223841235196959,united states postal service
15,234220,-4.388394566644016,-0.6222252241029925,united states postal service
15,234455,-4.3883074532070365,-0.6222139338093281,united states postal service
15,234531,-4.388310983808862,-0.622215160956749,united states postal service
15,234767,-4.388309542642487,-0.6222150082741263,united states postal service
15,234843,-4.388389636854361,-0.6222258332105768,united states postal service
15,235056,-4.38835710291936,-0.6222222259565211,united states postal service
15,235178,-4.388321529239799,-0.6222158612390694,united states postal service
15,235255,-4.388962319979027,-0.6223528134060741,united states postal service
15,235377,-4.3883029442248045,-0.6222131401267071,united states postal service
15,235398,-4.388743031067772,-0.6222918747617584,united states postal service
15,235439,-4.3882699393582545,-0.6222051851546465,united states postal service
15,235485,-4.3889623215451525,-0.6223528106817197,united states postal service
15,235494,-4.388962326263534,-0.6223528128597257,united states postal service
15,235510,-4.388290448505348,-0.6222080085780864,united states postal service
15,235517,-4.388321525829514,-0.6222158627068975,united states postal service
15,235571,-4.3883542509777875,-0.6222219619933032,united states postal service
15,235605,-4.3882695184140665,-0.6222049968789394,united states postal service
15,235715,-4.388360293274471,-0.6222182039314659,united states postal service
15,235767,-4.388080219247375,-0.6221705047319959,united states postal service
15,235858,-4.3887430285275535,-0.6222918754776975,united states postal service
15,235888,-4.388321524394252,-0.6222158607859598,united states postal service
15,235894,-4.388349280785847,-0.6222214736609379,united states postal service
15,235932,-4.388962326212521,-0.6223528114610392,united states postal service
15,236178,-4.38829044777923,-0.6222080146091936,united states postal service
15,236272,-4.388383622924511,-0.622225094604237,united states postal service
15,236337,-4.388269965058387,-0.6222051846324091,united states postal service
15,236658,-4.3883215255503245,-0.6222158608843995,united states postal service
15,236900,-4.388309462745567,-0.6222150040046306,united states postal service
15,236994,-4.388321527126515,-0.6222158606736437,united states postal service
15,237143,-4.3883836229996565,-0.6222250985342431,united states postal service
15,237474,-4.388360281290439,-0.6222182034300767,united states postal service
15,237974,-4.3883602889181335,-0.6222182038883733,united states postal service
15,238007,-4.388743033816281,-0.6222918689748285,united states postal service
15,238219,-4.388360291829087,-0.6222181968502881,united states postal service
15,238422,-4.388310979729308,-0.6222151613541579,united states postal service
15,238519,-4.388354257497171,-0.6222219632385032,united states postal service
15,238658,-4.388080220784548,-0.6221705069005647,united states postal service
15,238667,-4.3883095349551,-0.6222150071545944,united states postal service
15,238839,-4.388309467270454,-0.6222150024000683,united states postal service
15,239094,-4.388354252979985,-0.6222219617717939,united states postal service
15,239230,-4.388357136722002,-0.6222222271694151,united states postal service
15,239382,-4.3889623298672635,-0.6223528125714917,united states postal service
15,239417,-4.388360281248556,-0.6222181988495951,united states postal service
15,239593,-4.388354257460705,-0.6222219613257901,united states postal service
15,239624,-4.388269499266067,-0.6222049962238333,united states postal service
15,239651,-4.3883092033855835,-0.622214657328096,united states postal service
15,239713,-4.388383630931125,-0.6222251005417796,united states postal service
15,239798,-4.3882699468966235,-0.6222051852381456,united states postal service
15,239861,-4.388360294287635,-0.6222182036856577,united states postal service
15,239880,-4.388962323358953,-0.6223528106828258,united states postal service
15,239890,-4.3883571396198855,-0.6222222275013722,united states postal service
