cluster_id,item_id,x,y,item_name
60,5878,-3.390441459369708,2.799099576078816,bollman doug
60,7878,0.21394335018382596,0.1431967406026095,lockheed martin coherent techs
60,8538,1.6849123092933365,4.09029551232594,quillen patricia
60,8804,1.005022393693654,-2.7289977174439715,mc donald & associates
60,21282,0.08242189809253883,1.2488381993024689,avalon aviary
60,29499,0.2403945684759627,-1.1230323126131043,"nikki clark watson llc, withdr"
60,49666,2.5048263163305005,-2.3783678157055723,ted gilbert
60,53843,-1.832331245244892,1.1517762401088751,john williams combo & orchstra
60,59095,-2.631516382733563,2.450263472832713,david goldberg.
60,62474,-0.2352509636333617,-0.5430293869966579,keith pockross attorney
60,62526,-0.6485752057116396,-1.9325101597365115,robin shandas
60,63080,3.3880108973991288,-1.6480786591373011,miller & son masonry
60,86530,1.9467291292804825,-2.720962761992403,kinder morgan
60,88937,-1.0346388983447137,5.3901774085905085,lemasters sheri
60,89850,1.5281349162026494,2.9794666138870074,vicki pitmon allstate
60,96458,-4.756398802356093,0.6719893361379631,cady-smith linda
60,101127,-3.798837194547574,-1.1870728368230936,leonard bell
60,110333,-0.12144305604556105,-2.444292423120592,cooley godward kronish l.l.p.
60,122284,-4.302054668820229,1.393689219140621,brassell jason
60,133154,-0.7912530610588343,1.1420596571727728,keske william dvm
60,133172,-3.6222906077424986,-3.2048959767102114,marsha cierpik photography
60,136336,-5.2357312992009915,-0.7427100191589977,kimberly parker.
60,157674,-1.284930995608722,-2.8981790756647765,parker llc
60,170054,-1.4683590345196196,-0.34858054399124794,eric bartczak architects
60,174030,-1.7383761942814917,2.339670067727627,stanley owen edwards
60,174086,-1.3972357913553295,-1.7551464733260067,"wagner charles, cpa"
60,176210,0.18921933390778148,-0.851458769099523,kathleen mullen law offices
60,195654,2.830448917467629,-1.7031421740887418,remax alliance nederland
60,195762,2.6237800712774244,-1.5368736053719958,roethler jim remax agent
60,203357,0.028825696591941813,-0.13259464086843714,smith & smith media services
60,204402,2.6177440346653054,-0.9738965101761271,wm smith & company
60,213058,2.0374475168826622,0.22635065149945086,marvin williams agency
60,364508,-1.842109737278551,2.182079152933943,david mcdonough
60,375732,-1.333211212842523,-0.4330801605436175,john wheeler architect
60,376030,-1.3124433862393787,-0.517197810909564,keith krebs aia architect
60,377481,-1.0256184653488187,5.379869412959418,lou toth
60,393290,0.06377490845023691,-0.9380149322867356,james mc donald law offices
60,395222,-0.7093011562898782,0.8504006670625905,john jensen trucking
60,426328,-3.573586397438408,2.387938666335877,rennie-sytsma lisa
60,429033,1.9688043945630147,-3.0531694327819023,morgan county rea
60,429039,2.0368121561083434,-2.8727316981856235,morgan community college
60,429636,-2.3001192080487702,3.2250010423197812,"sanchez, paul"
60,429829,-1.9636426664728497,4.456910448861512,edwards flowerland
60,453865,1.3145081398014256,-2.4070154403811097,williams & associates
60,531147,-1.3437718516332329,-0.3829425260722723,john olson builder
60,584344,3.679211737475183,-0.3930312701035403,stella springer
60,603026,1.7637107935369236,-1.9779934122229288,carrie martin elementary schl
60,679832,0.14905390479076294,-0.8147771370511019,robert reich law offices
60,712946,-0.009414302292432222,0.1546626790606343,honorable judith archuleta
60,721570,-1.8368119787731976,-0.4380384231290125,roger l simon attorney
60,753519,-1.8007447517641149,2.531244058196338,miller safety
60,788185,0.3396477673234473,0.9208363696362208,schmueser gordon meyer inc
60,788186,0.4267918393223885,0.82990878017399,"schmueser gordon meyer, inc."
60,788868,1.5525884423888687,4.773434546788296,bennett chiropractic clinic
60,789022,-2.369082355582638,0.8209461135731949,st. stephen school
60,790200,-0.1883916282133906,-1.0403189782129918,images by raymond
60,790415,0.6556382401655205,2.163769526112345,"wyman, mark"
60,797573,-2.541805737132277,0.9708057242537536,grace & graham
60,817457,0.3600216881849361,-0.3292591578881989,morgan stanley branch
60,822583,-2.081015385789059,-3.6031363672502663,john t crawford
60,852169,1.7686105137498016,3.8854599869151674,bimbi patricia
60,856347,2.16586029845632,0.2536445218755191,calvin gane
60,863138,-4.759679247353957,0.585532381310548,tuber linda
60,863575,-0.05301011329955787,-3.4282577060435906,lane colton
60,888823,-1.2800892765664793,0.013431185315135563,eric a clark trucking
60,897846,-2.8581345678820536,0.3891414737701165,craig sports
60,900957,-1.513612948404064,2.7348620139494617,"kelly, robert"
60,918819,-3.9118094765556735,1.7658138323051988,santay jeff
60,918887,0.10881221766178123,-0.14753974293518055,smith & smith commercial clnng
60,933990,-1.086901372249799,-1.7319877324860915,todd whalen cpa pc
60,948666,-1.2439012666220213,0.5026280359619942,williams ashcroft & co
60,960696,4.2351960490426155,1.2537379641913262,adams lumber
60,966034,1.3351389085947158,-1.1261327489675894,stevens software
60,966283,-2.6353142616838467,-0.3231462567309937,elizabeth cook
60,966501,-2.6181038017596445,2.7549503724620896,jim richardson
60,967672,1.2595602878238727,3.2667693886215754,douglas fey pottery
60,967687,3.1259297035513467,-1.3184221698188288,porter bros
60,968029,0.8433461023654456,-2.9033346402214515,mc roberts machine
60,968574,0.5395295976049322,4.758802787173186,bedard mary jean
60,968586,0.432541371725048,4.877092894113791,testarmata mary ann dc
60,968587,3.0562567192663805,1.0142025766411962,heron carroll joan
60,968617,-0.5121581477624119,0.32410933471408065,payne jr raymond lee
60,968637,-1.2456259984421618,0.4701459923010362,huff barbara k
60,968638,1.5088322572539277,0.8419356688748998,kimmell diane
60,968640,4.544700117644519,-0.8134643484240539,talmage-bowers marilyn
60,968645,1.841608934537435,0.8996326762134415,roark donald
60,968654,-1.1455819859813003,0.5520547844830643,william feinberg co ltd
